code	source	date	artn	dutch	english
@heilzaam_werking_1	De Volkskrant	2003-11-08	14	Het lypoceen, een *bestanddeel* dat bijdraagt aan *de* rode *kleur*, *zou* *een* **heilzame** *werking* *hebben* *op* *de* prostaat.	Lypocene, a *component* that contributes to *the* red *colour*, *would* *have* *a* **healing** *power* *on* *the* prostate.
@heilzaam_effect_1	NRC Handelsblad	1999-11-27	148	Pierik *beschrijft* *de* **heilzame** *effecten* *van* *alcoholgebruik* *op* *de* bloedvaten en *de* bloeddruk, op mogelijke beroerten, galstenen, lichaamsgewicht, vruchtbaarheid, zwangerschap, botontkalking, kanker, verkoudheid, suikerziekte en seniele dementie.	Pierik *describes* *the* **healing** *powers* *of* *alcohol consumption* *on* [*the*] blood vessels and [*the*] blood pressure, on potential strokes, gallstones, body weight, fertility, pregnancy, osteoporosis, cancer, the cold, diabetes and senile dementia.
@heilzaam_werking_2	De Volkskrant	2002-03-29	79	Voor politici met dadendrang een gruwel, maar als men de casus van de Betuwelijn nog *voor* *de* *geest* haalt dan *zou* *het* advocatensysteem zijn **heilzame** *werking* *hebben* *kunnen* *bewijzen*.	For politicians with thirst for action it is an abomination, but when one recalls (lit. brings *to the spirit*) the case of the Betuwe line then *the* lawyer system *would* have been *able* to *prove* its **beneficial** *effect*.
@heilzaam_effect_2	De Standaard	1999-03-27	133	*De* *kwestie* *heeft* *alvast* één **heilzaam** *effect*: *het* *profiel* *van* commerciële boekenprijzen staat opnieuw ter discussie.	*The* *matter* *certainly* *has* a **beneficial** *effect*: *the* *profile* *of* commercial book prizes is again under discussion.
@heilzaam_ben_2	De Morgen	1999-03-18	45	Versterking *van* *de* politieke controle *op* *de* *Commissie* *kan* **heilzaam** *zijn* *maar* *de* *huidige* ongenuanceerde *discussie* *is* *gevaarlijk* *voor* Europees beleid en besluitvorming.	Reinforcement *of* *the* politicial control *at* *the* *Commission* *can* *be* **beneficial**, *but* *the* *current* unnuanced *discussion* *is* *dangerous* *for* European policy and decision-making.
@heilzaam_werk_2	De Morgen	2001-02-28	107	Ten slotte nog één fundamentele bedenking: ook *de* permanente actualiteit *van* *de* thematiek in *de* *media* *werkt* **heilzaam** *op* *de* *weggebruikers*.	To conclude, one final fundamental thought: *the* permanent presence *of the* topic in *the media has a beneficial* **effect** (lit. *works* **beneficially**) *on road users*.
@schaal_richter	Het Nieuwsblad	2000-07-12	4	Wenen, Beneden-Oostenrijk en Burgenland zijn dinsdagochtend opgeschrikt door een *aardschok* *van* *4,8* *op* *de* **schaal** *van* *Richter*.	Vienna, Lower Austria and Burgenland have been scared up on Tuesday morning by an *earthquake* *of* *4.8* *on* *the* *Richter* **scale**.
@schaal_gewicht	NRC Handelsblad	2002-09-07	160	Daarom is het van belang dat Nederland zich deze week achter de VS heeft geschaard, ook al legt ons land natuurlijk minder *gewicht* *in* *de* **schaal** dan *Duitsland* *in* het *Europese* debat over de al dan niet noodzakelijke toestemming van de Veiligheidsraad voor militaire actie tegen Irak.	Therefore it is important that the Netherlands has united behind the US this week, even though our country has of course less influence (lit. 'places less *weight on the* **scale**') than *Germany in* the *European* debate on the potentially necessary permission of the Security Council for military action against Iraq.
@schaal_nonrichter	NRC Handelsblad	1999-01-09	10	\"Misschien deelt de computer mij op grond *van* *statistische* analyses *op* *een* **schaal** *van* *1* *tot* *12* *in* categorie 3\", zegt woordvoerder B. Crouwers van de registratiekamer.	\"Maybe the computer on the basis *of* *statistical* analyses *on* *a* **scale** *of* *1* *to* *12* puts me *in* category 3\", says spokesperson B. Crouwers of the registration chamber.
@schaal_nationaal	De Volkskrant	2003-05-03	253	Die stad vormde de opmaat tot de latere *collectieve* *regelingen* *op* *nationale* **schaal**, stellen *de* auteurs, in navolging van socioloog prof. dr. Abram de Swaan.	That city was the prelude to the later *collective* *arrangements* *at* *national* **level** (lit. *on* a *national* **scale**), state *the* authors, in accordance with sociologist Prof. Dr. Abram de Swaan.
