model	cluster	min_identicals	max_identicals	mean_identicals	min_max_k8	max_max_k8	mean_max_k8	min_cws	mean_cws	max_cws	sd_cws	min_eps	max_eps	mean_eps	sd_eps	size	deeper_than_noise	cw_tokens	cw_types	cw_ttratio	rel_size	"cluster == ""0"""	rel_no_noise	largest_clus	lemma	kNN_full	SIL_full	kNN_no_noise	SIL_no_noise	min_inner_dist	max_inner_dist	mean_inner_dist	sd_inner_dist	identical_n	identical_prop	min_outer_dist	max_outer_dist	mean_outer_dist	sd_outer_dist	cloud_type	Altocumulus	maincat	topFscore	top_Cw	model_cluster	medoid	pmi10	raw_co10	pmi4	raw_co4	raw_freq	entropy	model_entropy	max_freq	median_freq_necessary	n_necessary	mean_inner_necessary	mean_outer_necessary	mean_inner_cws	mean_outer_cws	mean_top_inner	mean_top_weighted	mean_inner_weighted	sum_freq	Fscore_necessary	top_precision	top_recall
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0	0	1	0.025	0.47303733920629054	0.8120537055025776	0.6167231059411614	1	2.43125	7	1.3109211078258662	3.0100521540024814	4.309258137034371	3.465224967540019	0.29892773690615837	160	0	389	325	0.8354755784061697	0.6037735849056604	TRUE	1	1	blik	0.7036458333333333	-0.25799937686434093	NA	NA	0	0.9930808564934945	0.7506488701886653	0.10068898192146859	4	1.5723270440251572e-4	0.1415228865539775	0.9652135898657176	0.6789435106525462	0.10354723991258635	Cirrostratus	No-AC	Cirrus-Stratocumulus	0.06060606060606061	bied/verb	1	blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	1.6285282	374	2.1007848	241	86654	0.8080643328144352	0.6769053439207651	5	1	117	0.8586219682080755	0.8176085213586292	0.8598156226630579	0.840823784296459	0.855953348117284	0.8504465755729167	0.8572146211457043	179	0.018812524015972956	1	0.03125
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	1	0	0	0	0.36406999144212593	0.5097792992129022	0.44332468363862326	1	2.5714285714285716	5	1.0163498575623617	2.0530393947768415	3.1141935842685666	2.4531003786897845	0.3223031693708019	14	0.8571428571428571	36	23	0.6388888888888888	0.052830188679245285	FALSE	0.13333333333333333	0.6571428571428571	blik	0.9662698412698413	0.8470386514003642	0.9841269841269842	0.8470386514003642	0.13007020201430242	0.5410803503595526	0.42401761326624665	0.0768841833572731	0	0	0.2830809197509013	0.9572226388247956	0.7049520105632691	0.09784952036034558	Stratocumulus	No-AC	Cirrus-Stratocumulus	0.8750000000000001	richt/verb	1	blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	3.3318915	931	3.8640041	636	39138	-0	0.6769053439207651	14	14	1	NA	0.7999122755	0.8619124416600791	0.8607965388601475	0.8409017222727272	0.8409017222727272	0.8543252374368687	14	0.8750000000000001	0.7777777777777778	1
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	2	0	1	0.09090909090909091	0.138678529829668	0.3159580211871752	0.22361508726462512	1	2.8636363636363638	5	1.245772070624499	1.4634465450292575	2.4973705500424406	1.9657029733907427	0.2998698939383654	22	1	63	40	0.6349206349206349	0.0830188679245283	FALSE	0.20952380952380953	0.6571428571428571	blik	0.7234848484848485	0.41869140037485253	0.8547979797979798	0.41869140037485253	0	0.40320372335015664	0.24996808519621602	0.0791719547877503	2	0.004329004329004329	0.2744776911242296	0.9207105675505957	0.6363507576627412	0.11022708864672175	Stratocumulus	No-AC	Cirrus-Stratocumulus	1	werp/verb	1	blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	5.184118	1712	5.8502793	1338	11320	-0	0.6769053439207651	22	22	1	NA	0.7363103520000001	0.8097119492435898	0.8335915231071872	0.7682772728205128	0.7671255163414634	0.7955673000773301	22	1	1	1
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	3	0	0	0	0.2293713263947592	0.5577884213297651	0.3983580695929423	2	3.8260869565217392	7	1.2828795933956136	1.8536667616797702	2.997940563769398	2.667588242788854	0.3487632155203326	69	1	264	211	0.7992424242424242	0.26037735849056604	FALSE	0.6571428571428571	0.6571428571428571	blik	0.463768115942029	0.09703043389263749	0.9456521739130435	0.16841371506500943	0.1597619571582608	0.7652272738216125	0.5073754814013719	0.09999799813431307	0	0	0.1415228865539775	0.9652135898657176	0.6507365559927827	0.10851635791139387	Cirrus	No-AC	Cirrus-Stratocumulus	0.29629629629629634	oog/noun	1	blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	2.6196122	1083	3.1678143	753	92972	0.5403953805736404	0.6769053439207651	12	1.5	40	0.7854322298205129	0.7995245681974922	0.8041595364256375	0.8369530322576374	0.7136839812380952	0.6973689569047619	0.796480656770202	86	0.05798979826107804	1	0.17391304347826086
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0	0	1	0.011111111111111112	0.2451691586395246	0.757249963537068	0.3869124848593456	1	3.738888888888889	6	1.2068884638282296	2.732577446829183	4.339183851350539	3.276084311748576	0.34798585074337457	180	0	673	290	0.4309063893016345	0.6521739130434783	TRUE	1	1	blik	0.8027777777777778	-0.3424326862058147	NA	NA	0	0.967353723156272	0.5414506426698921	0.12557132318177905	2	6.207324643078833e-5	0.10240302428938974	0.9515741541967749	0.4998652464452796	0.1311200581663368	Cirrostratus	No-AC	Mixed	0.4370860927152318	de/det	7	blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.08502903	25864	0.24676345	12228	28074105	0.7481321441204339	0.7153496749248833	66	5	28	0.774987775026455	0.7578575011872146	0.8294175144839518	0.8189103592977537	0.8347210810380623	0.7798774497693575	0.8077408001064798	338	0.10215235671539516	0.5409836065573771	0.36666666666666664
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	1	0	0	0	0.06528358938220535	0.28360522435984037	0.12660269252139902	3	4.705882352941177	6	0.8488746876271654	1.860079942391332	2.9241819547440904	2.171911256237789	0.2662076517501521	17	0.9411764705882353	80	26	0.325	0.06159420289855073	FALSE	0.17708333333333334	0.4895833333333333	blik	0.8905228758169934	0.6065746361677243	0.9689542483660131	0.6065746361677243	0.011718729065518518	0.3910033960271292	0.1442221240517367	0.07606796683887698	0	0	0.19328133763147792	0.8902888145127552	0.4484635201524251	0.11684798427490427	Cumulus	No-AC	Mixed	0.9696969696969697	werp/verb	7	blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	5.184118	1712	5.8502793	1338	11320	0.22371807606583377	0.7153496749248833	16	15.5	2	0.52646250000000006	0.6852166743661972	0.7314165132615384	0.7896412662537041	0.7073560828	0.687488274375	0.735648113575	31	0.6011275546159267	1	0.9411764705882353
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	2	0	0	0	0.13919785075863889	0.31863074845325723	0.19302007072766234	3	5.2	6	1.01418510567422	2.0810305634831425	2.701523147901581	2.392484956347735	0.24753433052399249	15	1	78	32	0.41025641025641024	0.05434782608695652	FALSE	0.15625	0.4895833333333333	blik	0.674074074074074	0.476458651912354	0.9037037037037037	0.476458651912354	0.05006200742740541	0.39576325629032605	0.1995902247540377	0.07583899382378725	0	0	0.13538051831612685	0.9005417959351854	0.44020627484765534	0.1214890683981565	Stratocumulus	No-AC	Mixed	0.8	oog/noun	7	blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	2.6196122	1083	3.1678143	753	92972	0.24493002679463532	0.7153496749248833	10	8	5	0.630036568	0.6804598452906977	0.7118375633870968	0.788047101390967	0.6146829612903226	0.6501516689705882	0.7117622200041356	34	0.31272735548855474	1	0.6666666666666666
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	3	0	2	0.1702127659574468	0.1122136176980073	0.33752264523488884	0.22826720876223716	2	3.6382978723404253	6	1.0514075847848923	2.0036887910210925	2.726733120748708	2.425994400791404	0.21853895085370972	47	1	171	53	0.30994152046783624	0.17028985507246377	FALSE	0.4895833333333333	0.4895833333333333	blik	0.6572104018912529	0.02462890846525431	0.9757683215130024	0.026606655828576548	0	0.7574365543769436	0.3377769718269116	0.13046556561719175	8	0.0037002775208140612	0.10240302428938974	0.8872352870768236	0.48003229486751536	0.12493173011122966	Cirrus	No-AC	Mixed	0.547008547008547	op/prep	7	blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.74675417	8028	1.311013	5689	4502370	0.7450774786703536	0.7153496749248833	32	32	3	0.65162279	0.7165192314814816	0.8332820214949203	0.8339145602348578	0.8294087086538462	0.7747354982733813	0.7961988798234368	85	0.4485835617911089	0.45714285714285713	0.6808510638297872
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	4	0	2	0.47058823529411764	0.20406652182821372	0.4553612047114597	0.3440129310434863	1	2.5294117647058822	4	1.1245914290767742	1.9446789341712267	2.8973604906606116	2.473457386295302	0.30800010392291616	17	0.7647058823529411	43	17	0.3953488372093023	0.06159420289855073	FALSE	0.17708333333333334	0.4895833333333333	blik	0.8088235294117647	0.8042606528729891	0.9869281045751634	0.8326330646273857	2.220446049250313e-16	0.6157674853940162	0.34833636171355753	0.12339950846883291	8	0.029411764705882353	0.15154090668195574	0.9515741541967749	0.5936590312909438	0.11921534259508346	Stratocumulus	No-AC	Mixed	0.41509433962264153	van/prep	7	blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.046658155	10211	0.013452612	4368	12638933	0.605797499372304	0.7153496749248833	16	13.5	2	0.57005566	0.8001407366666666	0.8261593383088236	0.841065627466071	0.7965160356250001	0.6896542553125	0.797164278982558	27	0.3226550834803855	0.3055555555555556	0.6470588235294118
blik.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0	0	2	0.14814814814814814	0.804197249085205	0.9716061999227045	0.8959283108872356	1	1.5246913580246915	4	0.6888699656787871	2.7743556797063795	4.4894097501143095	3.477774288219191	0.4624169534578069	162	0	247	209	0.8461538461538461	0.6952789699570815	TRUE	1	1	blik	0.7980109739368999	-0.2592309828484852	NA	NA	0	1	0.9472278957035867	0.055197874507168246	24	9.201748332183115e-4	0.15115180458914979	1	0.9253502099082456	0.050268239448404785	Cirrostratus	No-AC	Mixed	0.048192771084337345	gun/verb	2	blik.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	4.2956223	748	4.865258	532	12091	0.7416028470555877	0.6576046562483652	4	1	130	0.9663525973154442	0.9479474238269231	0.9642720628027236	0.950899106701031	0.942543918701923	0.9416935999176955	0.9637707256218857	168	0.01578852251784291	1	0.024691358024691357
