lemma	code	definition	Dutch	English	freqs
blik	blik_1	1.1 gaze	een blik werpen op iets, een blik van verstandhouding	throw a look at something, a look of understanding	217
blik	blik_3	1.3 perspective, in intellectual sense	een brede blik	a wide view	30
blik	blik_4	2.1 thin flattened metal, in particular thin tin-plated steel	dozen uit blik	boxes of tin	5
blik	blik_5	2.2 object (in particular food container) made of tin	stoffer en blik, een blik erwtjes, een maaltijd uit blik	brush and dustpan, a can of peas, canned meal	24
hoop	hoop_1	1.1 unordered mass	een hoop rommel, gooi maar op de hoop	a pile of junk, you may drop it on the pile	17
hoop	hoop_2	1.2 great quantity	een hoop mensen, een hele hoop geld	a bunch of people, a lot of money	59
hoop	hoop_3	2 positive expectation, trust in something positive	hoop koesteren, de hoop uitspreken dat...	to have hope, express the hope that...	236
spot	spot_1	1 disrespectful, mocking expression or behaviour	de spot drijven met, bijtende spot	mock someone, sarcasm	106
spot	spot_2	2.1 advertisement via radio, television, cinema	een spotje voor tandpasta	a spot for toothpaste	46
spot	spot_3	2.2 spotlight	de spots richten op	direct the spotlights on	35
spot	spot_4	2.3 metaphorical spotlight	NA	he likes to be in the spotlight	15
spot	headline	(section of a magazine?)	NA	Spot	17
staal	staal_1	1.1 very hard iron with low carbon content	twaalf ton staal, ijzer en staal, een man van staal	twelve tons of steel, iron and steel, man of steel	215
staal	staal_1b	1.3 steel industry	NA	steel is striking	14
staal	staal_2	1.2 object or part of an object made of such metal	het staal van de velgen is verroest	the steel in the rims is rusted	8
staal	staal_3	2.1 sample of a substance or material, as evidence or proof	een staal vragen, goederen op staal verkopen	to ask for a sample, to buy a sample of goods	59
staal	staal_5	2.3 sample taken from a population for statistical analysis	NA	a representative sample	15
stof	stof_1	1.1 matter, substance of a certain kind	giftige stoffen	poisonous substances	145
stof	stof_2	1.2 fabrics	wollen en katoenen stoffen	woolen and cotton fabrics	54
stof	stof_3	1.3 topic about which people talk, write, think, etc.	stof voor een roman, stof tot onenigheid	material for a novel, topic of disagreement	37
stof	stof_4	2.1 mass of very small dry particles of various origin, floating in the air	een wolk stof, stof afnemen	a cloud of dust, to dust	39
stof	stof_6	2.3 idiomatic uses of "dust"	stof doen opwaaien	stir up dust	38
horde	horde_1	1 band, unordered group of people	een woeste horde	a ferocious horde	149
horde	horde_1b	1.2 unordered group of non-people	NA	a horde of computers	18
horde	horde_2	2.1 material obstacle, namely wooden frames used for hurdling	de 400m horden bij de vrouwen	the 400m hurdles for women	58
horde	horde_3	2.2 obstacle in figurative sense	een horde nemen	to take a hurdle	53
schaal	schaal_1	1.1 an ordered list of numbers, distances, quantities and such, with which something is measured	de schaal van Celsius, Richter, op een schaal van 1 tot 5	the scale of Celsius, Richter, on a scale from 1 to 5	32
schaal	schaal_2	1.2 the ratio between the size of something and its representation in a map, model, graph etc.	een schaal van 1:20, een schaal van 10 km	a scale of 1:20, a scale of 10km	10
schaal	schaal_3	1.3 magnitude, size	de schaal van een probleem, op grote/kleine schaal	the scale of a problem, on a large/small scale	214
schaal	schaal_5	2.2 shallow and wide dish	een schaal met vruchten	a platter with fruits	43
schaal	schaal_6	2.3 each of the dishes hanging from the arms of a scale	gewicht in de schaal leggen	lay a weight on the (dish of a) scale	19
